"","pollster","date","start","end","respondents","party","percent","votes","state"
"263","infratestdimap",2020-06-05,2020-06-05,2020-06-05,1003,"fdp",4,40.12,"sachsen-anhalt"
"264","infratestdimap",2020-06-05,2020-06-05,2020-06-05,1003,"left",16,160.48,"sachsen-anhalt"
"265","infratestdimap",2020-06-05,2020-06-05,2020-06-05,1003,"afd",19,190.57,"sachsen-anhalt"
"266","infratestdimap",2020-06-05,2020-06-05,2020-06-05,1003,"others",6,60.18,"sachsen-anhalt"
"267","insa",2020-03-20,2020-03-20,2020-03-20,1005,"cdu",25,251.25,"sachsen-anhalt"
"268","insa",2020-03-20,2020-03-20,2020-03-20,1005,"spd",11,110.55,"sachsen-anhalt"
"269","insa",2020-03-20,2020-03-20,2020-03-20,1005,"greens",11,110.55,"sachsen-anhalt"
"270","insa",2020-03-20,2020-03-20,2020-03-20,1005,"fdp",4,40.2,"sachsen-anhalt"
"271","insa",2020-03-20,2020-03-20,2020-03-20,1005,"left",18,180.9,"sachsen-anhalt"
"272","insa",2020-03-20,2020-03-20,2020-03-20,1005,"afd",25,251.25,"sachsen-anhalt"
"273","insa",2020-03-20,2020-03-20,2020-03-20,1005,"others",6,60.3,"sachsen-anhalt"
"274","infratestdimap",2018-08-28,2018-08-28,2018-08-28,1000,"cdu",28,280,"sachsen-anhalt"
"275","infratestdimap",2018-08-28,2018-08-28,2018-08-28,1000,"spd",14,140,"sachsen-anhalt"
"276","infratestdimap",2018-08-28,2018-08-28,2018-08-28,1000,"greens",6,60,"sachsen-anhalt"
"277","infratestdimap",2018-08-28,2018-08-28,2018-08-28,1000,"fdp",8,80,"sachsen-anhalt"
"278","infratestdimap",2018-08-28,2018-08-28,2018-08-28,1000,"left",19,190,"sachsen-anhalt"
"279","infratestdimap",2018-08-28,2018-08-28,2018-08-28,1000,"afd",21,210,"sachsen-anhalt"
"280","infratestdimap",2018-08-28,2018-08-28,2018-08-28,1000,"others",4,40,"sachsen-anhalt"
"281","conoscope",2018-05-22,2018-05-22,2018-05-22,1100,"cdu",35,385,"sachsen-anhalt"
"282","conoscope",2018-05-22,2018-05-22,2018-05-22,1100,"spd",16,176,"sachsen-anhalt"
"283","conoscope",2018-05-22,2018-05-22,2018-05-22,1100,"greens",5,55,"sachsen-anhalt"
"284","conoscope",2018-05-22,2018-05-22,2018-05-22,1100,"fdp",6,66,"sachsen-anhalt"
"285","conoscope",2018-05-22,2018-05-22,2018-05-22,1100,"left",20,220,"sachsen-anhalt"
"286","conoscope",2018-05-22,2018-05-22,2018-05-22,1100,"afd",15,165,"sachsen-anhalt"
"287","conoscope",2018-05-22,2018-05-22,2018-05-22,1100,"others",3,33,"sachsen-anhalt"
"288","infratestdimap",2017-06-22,2017-06-22,2017-06-22,1000,"cdu",40,400,"sachsen-anhalt"
"289","infratestdimap",2017-06-22,2017-06-22,2017-06-22,1000,"spd",13,130,"sachsen-anhalt"
"290","infratestdimap",2017-06-22,2017-06-22,2017-06-22,1000,"greens",6,60,"sachsen-anhalt"
"291","infratestdimap",2017-06-22,2017-06-22,2017-06-22,1000,"fdp",5,50,"sachsen-anhalt"
"292","infratestdimap",2017-06-22,2017-06-22,2017-06-22,1000,"left",20,200,"sachsen-anhalt"
"293","infratestdimap",2017-06-22,2017-06-22,2017-06-22,1000,"afd",13,130,"sachsen-anhalt"
"294","infratestdimap",2017-06-22,2017-06-22,2017-06-22,1000,"others",3,30,"sachsen-anhalt"
"295","infratestdimap",2016-11-22,2016-11-22,2016-11-22,1000,"cdu",33,330,"sachsen-anhalt"
